question_id,question,answer
webq_1271,what drugs lindsay lohan abuse?,Alcohol
webq_1271,what drugs lindsay lohan abuse?,Cocaine
webq_1271,what drugs lindsay lohan abuse?,Adderall
webq_1271,what drugs lindsay lohan abuse?,MDMA/Ecstasy
webq_1271,what drugs lindsay lohan abuse?,Marijuana
webq_1834,what kind of government does brazil has?,Federal presidential constitutional republic
webq_1834,what kind of government does brazil has?,Presidential representative democratic republic
webq_1834,what kind of government does brazil has?,Federal republic
trivia_3939,What was the name of the computer in Stanley Kubricks 2001: A Space Odyssey?,HAL 9000
trivia_3939,What was the name of the computer in Stanley Kubricks 2001: A Space Odyssey?,HAL
nq_3499,most assists in an nba all star game?,Magic Johnson — 22 (single-game record)
nq_3499,most assists in an nba all star game?,Chris Paul — career leader in All-Star assists
trivia_4768,Lemony Snicket wrote which series of children's books?,A Series of Unfortunate Events
trivia_4768,Lemony Snicket wrote which series of children's books?,All the Wrong Questions
webq_1868,where is the main branch of bank of america?,"Bank of America Corporate Center, 100 North Tryon Street, Charlotte, North Carolina"
webq_1868,where is the main branch of bank of america?,"555 California Street, San Francisco, California (former main office/headquarters)"
nq_2085,when was the last time university of michigan won a national championship?,"January 8, 2024 — Football (CFP National Championship, 2023 season)"
nq_2085,when was the last time university of michigan won a national championship?,2021 — Women’s Gymnastics (NCAA)
nq_2085,when was the last time university of michigan won a national championship?,1998 — Men’s Ice Hockey (NCAA)
nq_2085,when was the last time university of michigan won a national championship?,2005 — Softball (NCAA)
nq_2085,when was the last time university of michigan won a national championship?,1989 — Men’s Basketball (NCAA)
trivia_3596,Traditional Latin pluralization of Latin-originating words ending in 'us' is to replace the 'us' with?,i
trivia_3596,Traditional Latin pluralization of Latin-originating words ending in 'us' is to replace the 'us' with?,ora
trivia_3596,Traditional Latin pluralization of Latin-originating words ending in 'us' is to replace the 'us' with?,era
trivia_3596,Traditional Latin pluralization of Latin-originating words ending in 'us' is to replace the 'us' with?,us
nq_482,what is the name of the gap between two front teeth?,diastema
nq_482,what is the name of the gap between two front teeth?,midline diastema
nq_482,what is the name of the gap between two front teeth?,median diastema
webq_1131,what is real name of santa claus?,Saint Nicholas (Nicholas of Myra)
webq_1131,what is real name of santa claus?,Kris Kringle
webq_1131,what is real name of santa claus?,Sinterklaas
trivia_323,How many verses make up the national anthem God Save The Queen?,3
trivia_323,How many verses make up the national anthem God Save The Queen?,1
trivia_323,How many verses make up the national anthem God Save The Queen?,2
nq_894,where was percy jackson and the olympians filmed?,"Vancouver, British Columbia, Canada"
nq_894,where was percy jackson and the olympians filmed?,"New York City, New York, USA"
nq_894,where was percy jackson and the olympians filmed?,"Nashville, Tennessee, USA"
nq_894,where was percy jackson and the olympians filmed?,"New Orleans, Louisiana, USA"
nq_763,where do some of the natural air pollutants come from?,volcanoes
nq_763,where do some of the natural air pollutants come from?,wildfires
