trivia_3434,"How many North American railway metro systems are busier than Mexico City's metro?","1; 0",unsupported,0.68,"https://www.railway-technology.com/features/featurethe-worlds-top-10-busiest-metros-4433827/","second largest metro system in North America after the New York City Subway",""
trivia_1963,"Fireworks that burn red contain which element, the only one named after a place in UK?","Strontium",supported,0.90,"https://www.nms.ac.uk/discover-catalogue/whats-in-a-firework-minerals-that-bang","Strontium is the element commonly used to create strong red colours... named after the Scottish village... Strontian",""
nq_2684,"what is the legal age for marriage in australia?","18; 16–17 with court approval and parental consent, only one party may be under 18",supported,0.86,"https://en.wikipedia.org/wiki/Marriage_in_Australia","general marriageable age in Australia is 18 years... a person aged 16 or 17 can marry with parental consent and authorisation by a Magistrates Court",""
webq_620,"who played victoria barkley?","Barbara Stanwyck",supported,0.95,"https://en.wikipedia.org/wiki/The_Big_Valley","Victoria Barkley, portrayed by Barbara Stanwyck",""
trivia_5056,"Which German was deprived of his nationality in 1938 mainly for writing ""All Quiet On The Western Front"" and ""The Road Back""?""","Erich Maria Remarque",supported,0.88,"https://www.encyclopedia.com/arts/educational-magazines/all-quiet-western-front","Nazi Germany took away Remarque's citizenship in 1938",""
trivia_863,"A mahout is a person who works, tends and rides which animal?","elephant",supported,0.95,"https://en.wikipedia.org/wiki/Mahout","A mahout is an elephant rider, trainer, or keeper",""
nq_2466,"who owns the delano hotel in las vegas?","Joint venture of VICI Properties and Blackstone Real Estate Income Trust (BREIT) (real estate owner); MGM Resorts International (lessee/operator); Accor (owner of the Delano brand)",unknown,0.45,"https://en.wikipedia.org/wiki/Mandalay_Bay","MGM would own 50.1 percent of the joint venture, and Blackstone would own the remainder... Mandalay Bay would be leased to MGM Resorts",""
trivia_6081,"Harvard University is situated in which American State?","Massachusetts",supported,0.95,"https://en.wikipedia.org/wiki/Harvard_University","Harvard University is... in Cambridge, Massachusetts",""
trivia_8608,"What was the name of the eponymous 'Knight of the Holy Grail' in an opera by Wagner?","Lohengrin; Parsifal",supported,0.65,"https://en.wikipedia.org/wiki/Lohengrin_(opera)","The Grail Knight Lohengrin... is sent to the duchess of Brabant",""
trivia_4940,"How many odd numbers are there between 12 and 42?","15",supported,0.90,"https://testbook.com/question-answer/the-sum-of-all-odd-integers-between-12-and-42-is-_--5c24bacb515b164d49326bb4","Number of odd numbers between 12 and 42 = (41 - 13)/2 + 1 = 15",""
trivia_473,"Who was part man, part machine, all cop and hailed from a futuristic Detroit?","RoboCop",supported,0.80,"https://scifi.stackexchange.com/questions/8143/did-the-general-public-know-robocop-was-a-cyborg","the tag line was, part man, part machine, all cop",""
trivia_2019,"Which composer's operas are famously staged in the town of Bayreuth (say ""Bye-royt"")?""","Richard Wagner",supported,0.85,"https://en.wikipedia.org/wiki/Bayreuth_Festspielhaus","built by the 19th-century German composer Richard Wagner and dedicated solely to the performance of his stage works",""
trivia_1385,"Which band released a 2001 album entitled ‘Amnesiac’?","Radiohead",supported,0.95,"https://en.wikipedia.org/wiki/Amnesiac_(album)","Amnesiac is the fifth studio album by the English rock band Radiohead, released on 30 May 2001",""
nq_1683,"how long is a whale shark in meters?","10 m; 18 m",supported,0.70,"https://www.dimensions.com/element/whale-shark","Whale Sharks have a total length between 9.1-18.9 m",""
trivia_1526,"Which land mammal has the longest tail?","African elephant; Red kangaroo; Giraffe",unsupported,0.70,"https://www.nationalgeographic.com/animals/article/160430-animals-science-longest-tails-reptiles","Giraffes have the longest tails of any land mammal—up to 8 feet",""
nq_1679,"when was 13 reasons why released on netflix?","March 31, 2017",supported,0.95,"https://en.wikipedia.org/wiki/13_Reasons_Why","released on Netflix on March 31, 2017",""
nq_3030,"who plays the mother of howard on big bang theory?","Carol Ann Susi",supported,0.90,"https://en.wikipedia.org/wiki/Carol_Ann_Susi","provided the voice of ... Mrs. Wolowitz, mother of Howard Wolowitz",""
nq_2345,"when did scotland last qualify for world cup?","1998 (FIFA Men’s World Cup); 2019 (FIFA Women’s World Cup)",unknown,0.50,"https://www.bbc.com/news/articles/ckgk5dv0e9xo","When Scotland's men last qualified for the World Cup in 1998",""
