id,question,answer
nq_100,what is the cross on a letter t called?,bar
nq_100,what is the cross on a letter t called?,cross-stroke
nq_100,what is the cross on a letter t called?,crossbar
nq_100,what is the cross on a letter t called?,t-bar
nq_1002,where are the cones in the eye located?,fovea centralis
nq_1002,where are the cones in the eye located?,macula lutea
nq_1002,where are the cones in the eye located?,retina
nq_1007,when does april fools day end at noon?,11:59 pm local time on April 1 (the calendar day ends
nq_1007,when does april fools day end at noon?,12:00 pm local time on April 1 (traditional prank cutoff in the UK/Commonwealth)
nq_1007,when does april fools day end at noon?,in many places pranks run all day)
nq_1008,where is thank you for your service based?,"Fort Riley, Kansas"
nq_1008,where is thank you for your service based?,Iraq
nq_1008,where is thank you for your service based?,"Topeka, Kansas"
nq_1011,what nba player has scored the most 3 pointers?,Klay Thompson
nq_1011,what nba player has scored the most 3 pointers?,Stephen Curry
nq_1013,when was the statue of liberty in france built?,1875–1884
nq_1013,when was the statue of liberty in france built?,1884
nq_1013,when was the statue of liberty in france built?,1889
nq_1014,how many times have the winter olympics been in the usa since 1924?,4
nq_1014,how many times have the winter olympics been in the usa since 1924?,5
nq_1015,who sings i 'll sleep when i 'm dead?,Bon Jovi
nq_1015,who sings i 'll sleep when i 'm dead?,Warren Zevon
nq_1017,who owns the crown plaza hotel in chicago illinois?,"InterContinental Hotels Group (IHG, brand owner)"
nq_1017,who owns the crown plaza hotel in chicago illinois?,"The specific property owner of the particular Chicago Crowne Plaza location (varies by property: West Loop, Midway, and O’Hare each have different owners)"
nq_1019,who plays the grandmother in game of thrones?,Diana Rigg
nq_1019,who plays the grandmother in game of thrones?,Margaret John
nq_1020,what 's the nba record for most points in a half?,"Individual: 59 points — Wilt Chamberlain (2nd half, Mar 2, 1962)"
nq_1020,what 's the nba record for most points in a half?,"Team: 107 points — Phoenix Suns vs Denver Nuggets (Nov 10, 1990)"
nq_1021,who played the king in the ten commandments?,Cedric Hardwicke
nq_1021,who played the king in the ten commandments?,Charles de Rochefort
nq_1021,who played the king in the ten commandments?,Woody Strode
nq_1021,who played the king in the ten commandments?,Yul Brynner
nq_1023,where is the new stadium being built in las vegas?,The Tropicana site at Las Vegas Blvd & Tropicana Ave on the Strip (A’s ballpark)
nq_1023,where is the new stadium being built in las vegas?,West of the Strip at Russell Rd & I-15 (Allegiant Stadium)
nq_1025,name the tissue type of the inner most layer of cells?,Endodermis (plant root cortex)
nq_1025,name the tissue type of the inner most layer of cells?,Simple columnar epithelium (gastrointestinal mucosa)
nq_1025,name the tissue type of the inner most layer of cells?,Simple squamous epithelium (endothelium)
nq_1025,name the tissue type of the inner most layer of cells?,Stratified squamous keratinized epithelium (epidermis)
nq_1029,where was it happened at the world fair filmed?,"MGM Studios, Culver City, California"
nq_1029,where was it happened at the world fair filmed?,"Seattle, Washington (1962 Seattle World’s Fair/Century 21 Exposition)"
nq_103,who plays the evil doctor in wonder woman?,Elena Anaya
nq_103,who plays the evil doctor in wonder woman?,Kristen Wiig
nq_1031,what river flows through charleston west virginia 's capital?,Elk River
nq_1031,what river flows through charleston west virginia 's capital?,Kanawha River
nq_1033,who sings so come and dance with me jai ho?,A. R. Rahman featuring Sukhwinder Singh
nq_1033,who sings so come and dance with me jai ho?,The Pussycat Dolls
nq_104,who starred in the movie summer of 42?,Gary Grimes
nq_104,who starred in the movie summer of 42?,Jennifer O'Neill
nq_1042,when does the heart develop and begin pumping blood?,about 5–6 weeks of gestational age (LMP-based)
nq_1042,when does the heart develop and begin pumping blood?,during embryonic week 4
nq_1042,when does the heart develop and begin pumping blood?,~22 days after fertilization (end of embryonic week 3)
nq_1046,who were the original voices of the flintstones?,"Alan Reed, Mel Blanc, Jean Vander Pyl, Bea Benaderet"
nq_1046,who were the original voices of the flintstones?,"Daws Butler, June Foray, Jean Vander Pyl, Hal Smith"
nq_1060,where did the ancestors of the domestic goat originate?,Southwest Asia/Near East (Fertile Crescent)
nq_1060,where did the ancestors of the domestic goat originate?,Zagros and Taurus Mountains of Iran–Iraq–Turkey
nq_1062,where is the world cup being held 2018?,India
nq_1062,where is the world cup being held 2018?,Russia
nq_1063,rizal finished all the chapters of the novel noli me tangere in?,"Berlin, Germany"
nq_1063,rizal finished all the chapters of the novel noli me tangere in?,"Wilhelmsfeld, Germany"
nq_1065,who declared war on the united states four days after pearl harbor?,Germany
