webq_112,"where is the carpathian mountain range located?","Central and Eastern Europe; Spanning Romania, Slovakia, Poland, Ukraine, Hungary, and the Czech Republic; Extending from Austria and the Czech Republic through Slovakia and Poland to Ukraine and Romania, with a small portion in Serbia",supported,0.78,"https://en.wikipedia.org/wiki/Carpathian_Mountains","range stretches from the Western Carpathians in Austria, the Czech Republic, Slovakia and Poland... through Ukraine and Romania... to the Southern Carpathians in Romania and Serbia",""
webq_666,"what government does new zealand have?","Unitary parliamentary constitutional monarchy (Westminster-style parliamentary democracy); National Party-led coalition government with ACT and New Zealand First",unknown,0.4,"https://en.wikipedia.org/wiki/Politics_of_New_Zealand","The system of government is based on the Westminster system... New Zealand is a constitutional monarchy",""
trivia_10132,"Which double glazing firm used a feather in their advertising commercials?","Everest",supported,0.8,"https://en.wikipedia.org/wiki/Everest_Home_Improvement","Ted Moult dropping a feather on one side of the pub's double-glazed windows",""
trivia_3011,"English economist and physician Nicholas Barbon helped to pioneer which type of insurance in 1666?","fire insurance",supported,0.8,"https://en.wikipedia.org/wiki/Nicholas_Barbon","helped to pioneer fire insurance and mortgages",""
trivia_2088,"Who was the Beano’s Redskin Chum?","Little Plum",supported,0.77,"https://en.wikipedia.org/wiki/Little_Plum","officially titled 'Little Plum, Your Redskin Chum'",""
trivia_547,"Which well known couple live at Bagshot Park in Surrey?","Prince Edward and Sophie (Duke and Duchess of Edinburgh)",supported,0.66,"https://www.hellomagazine.com/homes/860290/prince-edward-duchess-sophie-bagshot-park-home-photos/","Prince Edward and his wife, the Duchess of Edinburgh, reside at Bagshot Park",""
webq_1842,"what does ss stand for in hitler's army?","Schutzstaffel",supported,0.86,"https://en.wikipedia.org/wiki/Schutzstaffel","The Schutzstaffel... (SS)",""
trivia_4046,"Which seabird that ranges widely in the Southern Ocean and the North Pacific has the largest wingspan of any existing birds?","albatross; wandering albatross",supported,0.72,"https://ocean.si.edu/ocean-life/seabirds/wandering-albatross","A wandering albatross has the largest wingspan of any bird",""
nq_828,"how many episodes of ray donovan series 3 are there?","12",supported,0.63,"https://ray-donovan.fandom.com/wiki/Season_3","Season 3... ended... with 12 episodes",""
trivia_5538,"Who was married to Guinevere?","King Arthur; Mordred",unsupported,0.7,"https://www.britannica.com/topic/Guinevere","Guinevere, wife of Arthur",""
trivia_1397,"How many US Presidents have been impeached?","3; 4",unsupported,0.74,"https://www.history.com/articles/how-many-presidents-impeached","only three have been impeached",""
trivia_249,"Which Syrian city is said to be the oldest continually inhabited city in the world?","Damascus; Aleppo",unsupported,0.55,"https://en.wikipedia.org/wiki/Damascus","Damascus is one of the oldest continuously inhabited cities in the world",""
trivia_727,"Which Roman Emperor was allegedy killed by his wife, Aggripina, in AD54?","Claudius",supported,0.7,"https://en.wikipedia.org/wiki/Claudius","Claudius was murdered by poison... his final and powerful wife, Agrippina, as the instigator",""
webq_1146,"where did romney graduated college?","Brigham Young University; He did not graduate from college",unsupported,0.71,"https://en.wikipedia.org/wiki/Mitt_Romney","Romney graduated from BYU in 1971 with a Bachelor of Arts degree in English",""
trivia_1636,"Which US President was born Lesley Lynch King Jr?","Gerald Ford",supported,0.85,"https://en.wikipedia.org/wiki/Gerald_Ford","Ford was born Leslie Lynch King Jr.",""
trivia_6881,"The ancient Greek writer Apollonius of Perga wrote on which subject?","conic sections",supported,0.8,"https://en.wikipedia.org/wiki/Apollonius_of_Perga","known for his work on conic sections",""
